"team1_name","team1_score","team2_name","team2_score","location","nOT","game_length"
"Boston Celtics",89,"Cleveland Cavaliers",82,"Cleveland",0,48
"Los Angeles Clippers",92,"Denver Nuggets",89,"Los Angeles",0,48
"Milwaukee Bucks",94,"New York Knicks",90,"Milwaukee",0,48
"Minnesota Timberwolves",98,"Houston Rockets",86,"Minnesota",0,48
"New Jersey Nets",100,"Detroit Pistons",92,"New Jersey",0,48
"Phoenix Suns",110,"Sacramento Kings",101,"Phoenix",0,48
"Portland Trail Blazers",81,"Seattle Supersonics",80,"Portland",0,48
"San Antonio Spurs",92,"Washington Wizards",81,"San Antonio",0,48
"Utah Jazz",103,"Memphis Grizzlies",74,"Memphis",0,48
"Miami Heat",92,"New York Knicks",84,"New York",0,48
"Sacramento Kings",103,"Golden State Warriors",88,"Sacramento",0,48
"Los Angeles Lakers",109,"Toronto Raptors",107,"Toronto",1,53
"Cleveland Cavaliers",74,"Miami Heat",72,"Cleveland",0,48
"Dallas Mavericks",92,"Washington Wizards",86,"Dallas",0,48
"Utah Jazz",96,"Houston Rockets",91,"Houston",0,48
"Indiana Pacers",112,"Atlanta Hawks",97,"Indiana",0,48
"New Jersey Nets",99,"Chicago Bulls",83,"New Jersey",0,48
"Milwaukee Bucks",108,"Orlando Magic",103,"Orlando",0,48
"Phoenix Suns",89,"Seattle Supersonics",88,"Phoenix",0,48
"San Antonio Spurs",99,"New Orleans Hornets",94,"San Antonio",1,53
"Sacramento Kings",105,"Los Angeles Lakers",99,"Los Angeles",0,48
"New Jersey Nets",117,"Boston Celtics",81,"New Jersey",0,48
"Orlando Magic",104,"Detroit Pistons",99,"Orlando",0,48
"Dallas Mavericks",83,"New Orleans Hornets",81,"New Orleans",0,48
"Seattle Supersonics",97,"Toronto Raptors",88,"Seattle",0,48
"Detroit Pistons",87,"Washington Wizards",82,"Washington",0,48
"Atlanta Hawks",81,"San Antonio Spurs",79,"Atlanta",0,48
"Minnesota Timberwolves",113,"Chicago Bulls",100,"Chicago",0,48
"Indiana Pacers",113,"Cleveland Cavaliers",89,"Cleveland",0,48
"Golden State Warriors",101,"Toronto Raptors",96,"Golden State",0,48
"New York Knicks",99,"Houston Rockets",83,"Houston",0,48
"Memphis Grizzlies",99,"Orlando Magic",86,"Memphis",0,48
"Miami Heat",90,"Boston Celtics",70,"Miami",0,48
"New Jersey Nets",110,"Milwaukee Bucks",90,"New Jersey",0,48
"Phoenix Suns",108,"Los Angeles Clippers",95,"Phoenix",0,48
"Portland Trail Blazers",103,"Utah Jazz",98,"Portland",0,48
"San Antonio Spurs",109,"Chicago Bulls",95,"Chicago",0,48
"Dallas Mavericks",107,"New York Knicks",82,"Dallas",0,48
"Los Angeles Lakers",112,"Denver Nuggets",93,"Denver",0,48
"Detroit Pistons",106,"Minnesota Timberwolves",82,"Detroit",0,48
"Indiana Pacers",91,"New Orleans Hornets",84,"Indiana",0,48
"Golden State Warriors",99,"Los Angeles Clippers",92,"Los Angeles",0,48
"New Jersey Nets",104,"Milwaukee Bucks",96,"Milwaukee",0,48
"Orlando Magic",101,"Boston Celtics",95,"Orlando",0,48
"Portland Trail Blazers",119,"Sacramento Kings",113,"Sacramento",1,53
"Utah Jazz",98,"Philadelphia 76ers",69,"Utah",0,48
"Washington Wizards",84,"Atlanta Hawks",76,"Washington",0,48
"Phoenix Suns",103,"Cleveland Cavaliers",84,"Cleveland",0,48
"Houston Rockets",97,"New Orleans Hornets",85,"Houston",0,48
"Los Angeles Lakers",104,"Toronto Raptors",88,"Los Angeles",0,48
"Milwaukee Bucks",110,"Dallas Mavericks",107,"Dallas",0,48
"Seattle Supersonics",79,"Denver Nuggets",77,"Denver",0,48
"Portland Trail Blazers",85,"Detroit Pistons",74,"Detroit",0,48
"Golden State Warriors",104,"Philadelphia 76ers",98,"Golden State",0,48
"Miami Heat",93,"Atlanta Hawks",84,"Miami",0,48
"Minnesota Timberwolves",104,"Phoenix Suns",98,"Minnesota",0,48
"New Jersey Nets",102,"Cleveland Cavaliers",88,"New Jersey",0,48
"New York Knicks",96,"San Antonio Spurs",95,"New York",0,48
"Orlando Magic",112,"Washington Wizards",95,"Orlando",0,48
"Utah Jazz",107,"Toronto Raptors",85,"Utah",0,48
"Boston Celtics",96,"Memphis Grizzlies",89,"Boston",0,48
"Chicago Bulls",102,"Portland Trail Blazers",87,"Chicago",0,48
"Houston Rockets",103,"Milwaukee Bucks",80,"Houston",0,48
"Philadelphia 76ers",83,"Los Angeles Clippers",75,"Los Angeles",0,48
"Indiana Pacers",89,"New Orleans Hornets",86,"New Orleans",0,48
"Washington Wizards",105,"San Antonio Spurs",103,"Washington",0,48
"Miami Heat",107,"Atlanta Hawks",73,"Atlanta",0,48
"New York Knicks",95,"Toronto Raptors",75,"New York",0,48
"Washington Wizards",107,"Chicago Bulls",82,"Chicago",0,48
"Dallas Mavericks",102,"Los Angeles Clippers",92,"Dallas",0,48
"Phoenix Suns",96,"Philadelphia 76ers",78,"Phoenix",0,48
"Portland Trail Blazers",108,"Boston Celtics",103,"Boston",0,48
"Memphis Grizzlies",116,"Los Angeles Clippers",111,"Memphis",0,48
"New Jersey Nets",100,"Miami Heat",80,"Miami",0,48
"Utah Jazz",118,"Milwaukee Bucks",115,"Milwaukee",0,48
"New Orleans Hornets",100,"Orlando Magic",89,"New Orleans",0,48
"New York Knicks",98,"Indiana Pacers",96,"New York",0,48
"San Antonio Spurs",98,"Golden State Warriors",95,"San Antonio",0,48
"Denver Nuggets",94,"Seattle Supersonics",82,"Seattle",0,48
"Cleveland Cavaliers",81,"Toronto Raptors",80,"Toronto",0,48
"Detroit Pistons",90,"Atlanta Hawks",86,"Atlanta",0,48
"Chicago Bulls",85,"Cleveland Cavaliers",79,"Chicago",0,48
"Dallas Mavericks",102,"Philadelphia 76ers",83,"Dallas",0,48
"Sacramento Kings",87,"Denver Nuggets",76,"Denver",0,48
"Golden State Warriors",86,"Houston Rockets",84,"Houston",0,48
"Utah Jazz",105,"Minnesota Timberwolves",97,"Minnesota",0,48
"New Jersey Nets",88,"Orlando Magic",83,"Orlando",0,48
"Phoenix Suns",107,"Los Angeles Lakers",93,"Phoenix",0,48
"Washington Wizards",107,"Indiana Pacers",104,"Washington",2,58
"San Antonio Spurs",94,"Los Angeles Clippers",86,"Los Angeles",0,48
"Los Angeles Lakers",109,"Phoenix Suns",97,"Los Angeles",0,48
"Portland Trail Blazers",92,"New York Knicks",89,"New York",0,48
"Sacramento Kings",96,"Miami Heat",70,"Sacramento",0,48
"New Orleans Hornets",99,"Toronto Raptors",84,"Toronto",0,48
"New Jersey Nets",101,"Atlanta Hawks",94,"Atlanta",0,48
"Washington Wizards",100,"Boston Celtics",95,"Boston",0,48
"Chicago Bulls",113,"Utah Jazz",98,"Chicago",0,48
"Milwaukee Bucks",106,"Cleveland Cavaliers",94,"Cleveland",0,48
"Dallas Mavericks",86,"Denver Nuggets",71,"Dallas",0,48
"Detroit Pistons",82,"Toronto Raptors",74,"Detroit",0,48
"Golden State Warriors",99,"Miami Heat",85,"Golden State",0,48
"Memphis Grizzlies",106,"New Orleans Hornets",102,"Memphis",0,48
"Orlando Magic",103,"New York Knicks",100,"Orlando",0,48
"Indiana Pacers",105,"Philadelphia 76ers",104,"Philadelphia",1,53
"Houston Rockets",94,"Minnesota Timberwolves",86,"Houston",0,48
"Los Angeles Lakers",119,"Seattle Supersonics",98,"Los Angeles",0,48
"Sacramento Kings",101,"Milwaukee Bucks",76,"Milwaukee",0,48
"Phoenix Suns",88,"Portland Trail Blazers",81,"Portland",0,48
"Dallas Mavericks",117,"Atlanta Hawks",99,"Atlanta",0,48
"Denver Nuggets",86,"Miami Heat",76,"Denver",0,48
"Indiana Pacers",89,"New York Knicks",87,"Indiana",0,48
"Los Angeles Clippers",103,"Memphis Grizzlies",95,"Los Angeles",0,48
"Minnesota Timberwolves",102,"Golden State Warriors",95,"Minnesota",0,48
"Boston Celtics",93,"New Orleans Hornets",83,"New Orleans",0,48
"Houston Rockets",91,"Orlando Magic",81,"Orlando",0,48
"Detroit Pistons",103,"Philadelphia 76ers",94,"Philadelphia",1,53
"San Antonio Spurs",106,"Seattle Supersonics",95,"Seattle",0,48
"Utah Jazz",99,"Phoenix Suns",93,"Utah",0,48
"Washington Wizards",101,"Chicago Bulls",98,"Washington",0,48
"Sacramento Kings",118,"New Jersey Nets",82,"New Jersey",0,48
"Portland Trail Blazers",90,"San Antonio Spurs",87,"Portland",0,48
"Denver Nuggets",82,"Portland Trail Blazers",81,"Denver",0,48
"Los Angeles Lakers",115,"Cleveland Cavaliers",99,"Los Angeles",0,48
"Milwaukee Bucks",93,"Chicago Bulls",85,"Milwaukee",1,53
"Minnesota Timberwolves",115,"Sacramento Kings",109,"Minnesota",1,53
"Detroit Pistons",101,"New Orleans Hornets",99,"New Orleans",1,53
"Indiana Pacers",101,"Orlando Magic",97,"Orlando",1,53
"New York Knicks",114,"Philadelphia 76ers",112,"Philadelphia",0,48
"Phoenix Suns",96,"Memphis Grizzlies",90,"Phoenix",0,48
"Los Angeles Clippers",90,"Seattle Supersonics",88,"Seattle",0,48
"New Jersey Nets",94,"Toronto Raptors",79,"Toronto",0,48
"Utah Jazz",92,"Miami Heat",76,"Utah",0,48
"Golden State Warriors",104,"Washington Wizards",99,"Washington",0,48
"Atlanta Hawks",84,"Houston Rockets",75,"Atlanta",0,48
"Dallas Mavericks",103,"Boston Celtics",78,"Dallas",0,48
"Atlanta Hawks",87,"New Orleans Hornets",80,"Atlanta",0,48
"Milwaukee Bucks",89,"Detroit Pistons",87,"Detroit",0,48
"Houston Rockets",87,"Denver Nuggets",85,"Houston",0,48
"Indiana Pacers",116,"Golden State Warriors",104,"Indiana",0,48
"Washington Wizards",89,"New York Knicks",84,"New York",0,48
"Dallas Mavericks",96,"Los Angeles Clippers",90,"Los Angeles",0,48
"Los Angeles Lakers",106,"Miami Heat",81,"Los Angeles",0,48
"Orlando Magic",107,"Philadelphia 76ers",105,"Philadelphia",0,48
"Phoenix Suns",107,"Utah Jazz",99,"Phoenix",0,48
"Sacramento Kings",106,"Memphis Grizzlies",98,"Sacramento",0,48
"San Antonio Spurs",81,"Boston Celtics",80,"San Antonio",0,48
"Cleveland Cavaliers",87,"Seattle Supersonics",79,"Seattle",0,48
"Toronto Raptors",105,"Minnesota Timberwolves",91,"Toronto",0,48
"Chicago Bulls",101,"New York Knicks",94,"Chicago",0,48
"Memphis Grizzlies",110,"Golden State Warriors",108,"Golden State",0,48
"Houston Rockets",101,"Boston Celtics",92,"Houston",0,48
"Minnesota Timberwolves",89,"Denver Nuggets",75,"Minnesota",0,48
"Detroit Pistons",101,"Orlando Magic",86,"Orlando",0,48
"Portland Trail Blazers",118,"Cleveland Cavaliers",94,"Portland",0,48
"Miami Heat",88,"Detroit Pistons",85,"Miami",0,48
"Milwaukee Bucks",97,"Atlanta Hawks",88,"Milwaukee",0,48
"New York Knicks",98,"Chicago Bulls",86,"New York",0,48
"San Antonio Spurs",108,"Phoenix Suns",100,"San Antonio",1,53
"Toronto Raptors",84,"Washington Wizards",75,"Washington",0,48
"Boston Celtics",86,"Atlanta Hawks",66,"Boston",0,48
"Utah Jazz",92,"Denver Nuggets",81,"Denver",0,48
"Golden State Warriors",108,"Cleveland Cavaliers",80,"Golden State",0,48
"Houston Rockets",102,"Phoenix Suns",96,"Houston",0,48
"Indiana Pacers",104,"Miami Heat",81,"Indiana",0,48
"Minnesota Timberwolves",95,"Los Angeles Clippers",64,"Los Angeles",0,48
"Los Angeles Lakers",90,"New Orleans Hornets",82,"New Orleans",0,48
"Philadelphia 76ers",108,"New Jersey Nets",107,"Philadelphia",0,48
"Portland Trail Blazers",100,"Memphis Grizzlies",92,"Portland",0,48
"Sacramento Kings",123,"Dallas Mavericks",94,"Sacramento",0,48
"Milwaukee Bucks",99,"Toronto Raptors",87,"Toronto",0,48
"Utah Jazz",92,"Seattle Supersonics",85,"Utah",0,48
"Washington Wizards",108,"Orlando Magic",93,"Washington",0,48
"Boston Celtics",98,"Indiana Pacers",93,"Boston",0,48
"Denver Nuggets",97,"Cleveland Cavaliers",80,"Denver",0,48
"Detroit Pistons",99,"New York Knicks",82,"Detroit",0,48
"Golden State Warriors",107,"Minnesota Timberwolves",98,"Golden State",0,48
"Houston Rockets",108,"Los Angeles Lakers",104,"Houston",1,53
"New Jersey Nets",88,"Toronto Raptors",77,"New Jersey",0,48
"New Orleans Hornets",90,"Chicago Bulls",83,"New Orleans",0,48
"Milwaukee Bucks",99,"Philadelphia 76ers",95,"Philadelphia",0,48
"Phoenix Suns",111,"Dallas Mavericks",106,"Phoenix",0,48
"San Antonio Spurs",106,"Atlanta Hawks",93,"San Antonio",0,48
"Seattle Supersonics",103,"Memphis Grizzlies",97,"Seattle",1,53
"New York Knicks",95,"Atlanta Hawks",92,"Atlanta",0,48
"Indiana Pacers",88,"Detroit Pistons",86,"Indiana",0,48
"Los Angeles Clippers",112,"Sacramento Kings",107,"Los Angeles",0,48
"Miami Heat",102,"Chicago Bulls",101,"Miami",2,58
"Boston Celtics",97,"Milwaukee Bucks",95,"Milwaukee",0,48
"Minnesota Timberwolves",104,"Portland Trail Blazers",98,"Portland",0,48
"Utah Jazz",95,"Cleveland Cavaliers",78,"Utah",0,48
"Philadelphia 76ers",88,"Washington Wizards",80,"Washington",0,48
"Seattle Supersonics",85,"Dallas Mavericks",81,"Seattle",0,48
"Orlando Magic",101,"Toronto Raptors",93,"Toronto",0,48
"Chicago Bulls",115,"Atlanta Hawks",102,"Atlanta",0,48
"Detroit Pistons",88,"Indiana Pacers",78,"Detroit",0,48
"Sacramento Kings",102,"Golden State Warriors",80,"Golden State",0,48
"Los Angeles Lakers",96,"Los Angeles Clippers",92,"Los Angeles",0,48
"Portland Trail Blazers",99,"Memphis Grizzlies",87,"Memphis",0,48
"Minnesota Timberwolves",89,"Toronto Raptors",81,"Minnesota",0,48
"New Orleans Hornets",114,"Phoenix Suns",102,"New Orleans",0,48
"New York Knicks",72,"Miami Heat",65,"New York",0,48
"Boston Celtics",100,"Philadelphia 76ers",99,"Philadelphia",0,48
"San Antonio Spurs",87,"Houston Rockets",82,"San Antonio",0,48
"Utah Jazz",106,"New Jersey Nets",103,"Utah",1,53
"Washington Wizards",89,"Denver Nuggets",74,"Washington",0,48
"Orlando Magic",103,"Cleveland Cavaliers",94,"Cleveland",0,48
"Dallas Mavericks",107,"Houston Rockets",86,"Dallas",0,48
"Sacramento Kings",109,"New Jersey Nets",102,"Sacramento",0,48
"Portland Trail Blazers",112,"Atlanta Hawks",110,"Atlanta",2,58
"Milwaukee Bucks",106,"Boston Celtics",97,"Boston",0,48
"Philadelphia 76ers",92,"Detroit Pistons",83,"Detroit",0,48
"Indiana Pacers",101,"Toronto Raptors",98,"Indiana",0,48
"Golden State Warriors",114,"Los Angeles Lakers",110,"Los Angeles",0,48
"Miami Heat",92,"Phoenix Suns",85,"Miami",0,48
"Minnesota Timberwolves",96,"Seattle Supersonics",91,"Minnesota",0,48
"New Orleans Hornets",103,"Washington Wizards",94,"New Orleans",0,48
"New York Knicks",97,"Denver Nuggets",88,"New York",0,48
"Orlando Magic",94,"Chicago Bulls",91,"Orlando",0,48
"Memphis Grizzlies",98,"San Antonio Spurs",93,"San Antonio",0,48
"Los Angeles Clippers",96,"Utah Jazz",89,"Utah",0,48
"Golden State Warriors",105,"New Jersey Nets",97,"Golden State",0,48
"Sacramento Kings",104,"Memphis Grizzlies",98,"Memphis",0,48
"Dallas Mavericks",107,"Philadelphia 76ers",94,"Philadelphia",0,48
"Atlanta Hawks",115,"Sacramento Kings",104,"Atlanta",0,48
"Boston Celtics",77,"Denver Nuggets",58,"Boston",0,48
"Chicago Bulls",104,"Washington Wizards",97,"Chicago",0,48
"Detroit Pistons",98,"Houston Rockets",74,"Houston",0,48
"Indiana Pacers",93,"Seattle Supersonics",80,"Indiana",0,48
"New Jersey Nets",89,"Los Angeles Lakers",83,"Los Angeles",0,48
"Minnesota Timberwolves",88,"Los Angeles Clippers",85,"Minnesota",0,48
"Portland Trail Blazers",97,"New Orleans Hornets",96,"New Orleans",1,53
"Dallas Mavericks",101,"New York Knicks",90,"New York",0,48
"Phoenix Suns",110,"Orlando Magic",107,"Orlando",0,48
"San Antonio Spurs",91,"Utah Jazz",90,"Utah",0,48
"Atlanta Hawks",102,"Cleveland Cavaliers",101,"Cleveland",1,53
"Golden State Warriors",108,"Utah Jazz",95,"Golden State",0,48
"Seattle Supersonics",95,"Memphis Grizzlies",83,"Memphis",0,48
"Philadelphia 76ers",97,"Miami Heat",91,"Miami",0,48
"Milwaukee Bucks",88,"Denver Nuggets",75,"Milwaukee",0,48
"San Antonio Spurs",108,"Detroit Pistons",76,"San Antonio",0,48
"Minnesota Timberwolves",97,"Washington Wizards",89,"Washington",0,48
"Boston Celtics",91,"Orlando Magic",83,"Boston",0,48
"Chicago Bulls",100,"Houston Rockets",98,"Chicago",0,48
"Portland Trail Blazers",100,"Dallas Mavericks",93,"Dallas",0,48
"Indiana Pacers",108,"Los Angeles Clippers",101,"Indiana",0,48
"New York Knicks",106,"Phoenix Suns",98,"New York",0,48
"Toronto Raptors",101,"Sacramento Kings",97,"Toronto",0,48
"Cleveland Cavaliers",104,"Los Angeles Clippers",100,"Cleveland",0,48
"New Jersey Nets",92,"Denver Nuggets",66,"Denver",0,48
"Houston Rockets",100,"Memphis Grizzlies",95,"Memphis",0,48
"Indiana Pacers",102,"Miami Heat",95,"Miami",0,48
"Minnesota Timberwolves",106,"San Antonio Spurs",95,"Minnesota",0,48
"Milwaukee Bucks",108,"New Orleans Hornets",93,"New Orleans",0,48
"Washington Wizards",98,"Phoenix Suns",93,"Washington",0,48
"Detroit Pistons",86,"Boston Celtics",83,"Detroit",0,48
"Philadelphia 76ers",108,"Milwaukee Bucks",81,"Milwaukee",0,48
"New York Knicks",103,"Atlanta Hawks",98,"New York",0,48
"Portland Trail Blazers",98,"Denver Nuggets",92,"Portland",0,48
"Utah Jazz",102,"Sacramento Kings",92,"Sacramento",0,48
"Seattle Supersonics",91,"Golden State Warriors",88,"Seattle",0,48
"Dallas Mavericks",104,"Houston Rockets",81,"Houston",0,48
"San Antonio Spurs",106,"Indiana Pacers",97,"Indiana",0,48
"Los Angeles Clippers",77,"Chicago Bulls",75,"Los Angeles",0,48
"Miami Heat",82,"New York Knicks",80,"Miami",0,48
"New Jersey Nets",86,"Washington Wizards",78,"New Jersey",0,48
"New Orleans Hornets",104,"Toronto Raptors",83,"New Orleans",0,48
"Orlando Magic",113,"Cleveland Cavaliers",108,"Orlando",0,48
"Atlanta Hawks",97,"Philadelphia 76ers",83,"Philadelphia",0,48
"Los Angeles Lakers",99,"Phoenix Suns",90,"Phoenix",0,48
"Utah Jazz",95,"Portland Trail Blazers",71,"Utah",0,48
"Dallas Mavericks",112,"Minnesota Timberwolves",109,"Dallas",0,48
"Milwaukee Bucks",97,"Washington Wizards",90,"Milwaukee",0,48
"Sacramento Kings",95,"Seattle Supersonics",77,"Seattle",0,48
"Atlanta Hawks",96,"Cleveland Cavaliers",91,"Atlanta",0,48
"Detroit Pistons",118,"Boston Celtics",66,"Boston",0,48
"Houston Rockets",121,"Minnesota Timberwolves",101,"Houston",0,48
"Phoenix Suns",98,"Los Angeles Clippers",92,"Los Angeles",0,48
"New York Knicks",108,"Memphis Grizzlies",102,"Memphis",0,48
"New Jersey Nets",89,"New Orleans Hornets",72,"New Jersey",0,48
"San Antonio Spurs",109,"Orlando Magic",108,"Orlando",0,48
"Philadelphia 76ers",104,"Miami Heat",99,"Philadelphia",0,48
"Portland Trail Blazers",107,"Chicago Bulls",94,"Portland",0,48
"Los Angeles Lakers",124,"Sacramento Kings",113,"Sacramento",0,48
"Toronto Raptors",102,"Indiana Pacers",90,"Toronto",0,48
"Utah Jazz",102,"Golden State Warriors",94,"Utah",0,48
"Dallas Mavericks",122,"Denver Nuggets",100,"Dallas",0,48
"Detroit Pistons",106,"New Jersey Nets",84,"Detroit",0,48
"Indiana Pacers",109,"Boston Celtics",100,"Indiana",0,48
"Los Angeles Lakers",99,"Utah Jazz",87,"Los Angeles",0,48
"San Antonio Spurs",67,"Miami Heat",65,"Miami",0,48
"Milwaukee Bucks",107,"New York Knicks",100,"Milwaukee",0,48
"Phoenix Suns",116,"Golden State Warriors",107,"Phoenix",0,48
"Seattle Supersonics",90,"Chicago Bulls",77,"Seattle",0,48
"Washington Wizards",109,"New Orleans Hornets",104,"Washington",0,48
"Atlanta Hawks",97,"Orlando Magic",89,"Atlanta",0,48
"Portland Trail Blazers",114,"Cleveland Cavaliers",95,"Cleveland",0,48
"Denver Nuggets",93,"Memphis Grizzlies",78,"Denver",0,48
"Houston Rockets",105,"Sacramento Kings",89,"Houston",0,48
"Minnesota Timberwolves",99,"Philadelphia 76ers",91,"Minnesota",0,48
"Toronto Raptors",100,"Los Angeles Clippers",86,"Toronto",0,48
"Golden State Warriors",101,"Memphis Grizzlies",91,"Golden State",0,48
"Miami Heat",99,"Atlanta Hawks",79,"Miami",0,48
"New Jersey Nets",109,"Seattle Supersonics",108,"New Jersey",1,53
"New Orleans Hornets",103,"Boston Celtics",96,"New Orleans",0,48
"Phoenix Suns",115,"Chicago Bulls",111,"Phoenix",1,53
"Dallas Mavericks",92,"Utah Jazz",90,"Utah",0,48
"Sacramento Kings",110,"Dallas Mavericks",109,"Dallas",0,48
"Denver Nuggets",102,"Chicago Bulls",100,"Denver",1,53
"Los Angeles Lakers",97,"Indiana Pacers",94,"Indiana",0,48
"Toronto Raptors",98,"Milwaukee Bucks",95,"Milwaukee",0,48
"Minnesota Timberwolves",103,"Houston Rockets",89,"Minnesota",0,48
"New York Knicks",105,"Los Angeles Clippers",92,"New York",0,48
"Portland Trail Blazers",96,"Orlando Magic",89,"Orlando",0,48
"Washington Wizards",93,"Cleveland Cavaliers",84,"Washington",0,48
"Boston Celtics",114,"Seattle Supersonics",74,"Boston",0,48
"Cleveland Cavaliers",105,"Houston Rockets",102,"Cleveland",0,48
"Detroit Pistons",89,"Los Angeles Clippers",80,"Detroit",0,48
"San Antonio Spurs",103,"Golden State Warriors",99,"Golden State",0,48
"Portland Trail Blazers",101,"Miami Heat",87,"Miami",0,48
"New Orleans Hornets",108,"Sacramento Kings",84,"New Orleans",0,48
"New Jersey Nets",111,"Philadelphia 76ers",85,"Philadelphia",0,48
"Utah Jazz",105,"Memphis Grizzlies",84,"Utah",0,48
"San Antonio Spurs",83,"Denver Nuggets",74,"Denver",0,48
"Milwaukee Bucks",97,"Seattle Supersonics",91,"Milwaukee",0,48
"Los Angeles Lakers",114,"New York Knicks",109,"New York",0,48
"Golden State Warriors",116,"Atlanta Hawks",113,"Atlanta",0,48
"Detroit Pistons",89,"Chicago Bulls",79,"Chicago",0,48
"Utah Jazz",103,"Houston Rockets",101,"Houston",1,53
"Indiana Pacers",107,"Cleveland Cavaliers",96,"Indiana",0,48
"Los Angeles Lakers",121,"Denver Nuggets",93,"Los Angeles",0,48
"New Orleans Hornets",78,"Miami Heat",69,"Miami",0,48
"Minnesota Timberwolves",100,"Dallas Mavericks",98,"Minnesota",0,48
"Orlando Magic",92,"New Jersey Nets",83,"Orlando",0,48
"Los Angeles Clippers",107,"Phoenix Suns",106,"Phoenix",0,48
"San Antonio Spurs",116,"Portland Trail Blazers",111,"Portland",1,53
"Sacramento Kings",99,"Washington Wizards",80,"Sacramento",0,48
"Boston Celtics",82,"Seattle Supersonics",76,"Seattle",0,48
"Minnesota Timberwolves",102,"Cleveland Cavaliers",91,"Cleveland",0,48
"Los Angeles Lakers",113,"Denver Nuggets",102,"Denver",0,48
"Washington Wizards",108,"Los Angeles Clippers",104,"Los Angeles",0,48
"Memphis Grizzlies",97,"New Jersey Nets",90,"Memphis",0,48
"Milwaukee Bucks",120,"Dallas Mavericks",114,"Milwaukee",0,48
"Indiana Pacers",83,"New Orleans Hornets",72,"New Orleans",0,48
"Golden State Warriors",113,"New York Knicks",107,"New York",0,48
"Philadelphia 76ers",119,"Chicago Bulls",111,"Philadelphia",1,53
"Toronto Raptors",97,"Atlanta Hawks",96,"Toronto",0,48
"Houston Rockets",106,"Utah Jazz",76,"Utah",0,48
"Detroit Pistons",98,"Orlando Magic",88,"Detroit",0,48
"Boston Celtics",100,"Portland Trail Blazers",92,"Portland",0,48
"Miami Heat",94,"Houston Rockets",82,"Houston",0,48
"Indiana Pacers",98,"Atlanta Hawks",97,"Indiana",1,53
"San Antonio Spurs",103,"Los Angeles Lakers",95,"Los Angeles",0,48
"Dallas Mavericks",110,"Memphis Grizzlies",103,"Memphis",0,48
"Milwaukee Bucks",96,"Detroit Pistons",86,"Milwaukee",0,48
"Minnesota Timberwolves",114,"New Orleans Hornets",93,"Minnesota",0,48
"New Jersey Nets",90,"Chicago Bulls",72,"New Jersey",0,48
"Philadelphia 76ers",99,"Orlando Magic",98,"Philadelphia",0,48
"New York Knicks",116,"Phoenix Suns",115,"Phoenix",0,48
"Sacramento Kings",110,"Seattle Supersonics",81,"Sacramento",0,48
"Golden State Warriors",118,"Toronto Raptors",114,"Toronto",1,53
"Utah Jazz",109,"Washington Wizards",77,"Utah",0,48
"Chicago Bulls",88,"Denver Nuggets",69,"Chicago",0,48
"Dallas Mavericks",98,"Miami Heat",92,"Dallas",0,48
"Boston Celtics",92,"Los Angeles Clippers",84,"Los Angeles",0,48
"Portland Trail Blazers",101,"Seattle Supersonics",96,"Portland",0,48
"Atlanta Hawks",99,"Indiana Pacers",86,"Atlanta",0,48
"Detroit Pistons",90,"Cleveland Cavaliers",75,"Cleveland",0,48
"New York Knicks",117,"Los Angeles Lakers",110,"Los Angeles",0,48
"Memphis Grizzlies",101,"Milwaukee Bucks",95,"Milwaukee",0,48
"Minnesota Timberwolves",109,"Golden State Warriors",102,"Minnesota",0,48
"Philadelphia 76ers",90,"New Jersey Nets",83,"New Jersey",0,48
"New Orleans Hornets",100,"Denver Nuggets",92,"New Orleans",0,48
"Phoenix Suns",102,"Boston Celtics",92,"Phoenix",0,48
"San Antonio Spurs",104,"Sacramento Kings",101,"Sacramento",0,48
"Toronto Raptors",99,"Orlando Magic",97,"Toronto",0,48
"Detroit Pistons",93,"Miami Heat",62,"Detroit",0,48
"Portland Trail Blazers",99,"New York Knicks",91,"Portland",0,48
"Utah Jazz",109,"Minnesota Timberwolves",97,"Utah",0,48
"Dallas Mavericks",105,"Atlanta Hawks",79,"Dallas",0,48
"Boston Celtics",125,"Golden State Warriors",117,"Golden State",0,48
"Los Angeles Lakers",106,"Houston Rockets",99,"Los Angeles",2,58
"Memphis Grizzlies",108,"Indiana Pacers",103,"Memphis",1,53
"New Jersey Nets",84,"Miami Heat",79,"New Jersey",0,48
"Orlando Magic",99,"New Orleans Hornets",94,"Orlando",0,48
"Sacramento Kings",102,"Milwaukee Bucks",93,"Sacramento",0,48
"San Antonio Spurs",101,"Denver Nuggets",76,"San Antonio",0,48
"Chicago Bulls",107,"Cleveland Cavaliers",101,"Cleveland",0,48
"Philadelphia 76ers",110,"Chicago Bulls",82,"Chicago",0,48
"Minnesota Timberwolves",85,"Denver Nuggets",77,"Denver",0,48
"Los Angeles Clippers",110,"Milwaukee Bucks",104,"Los Angeles",0,48
"New Orleans Hornets",87,"Washington Wizards",75,"New Orleans",0,48
"Houston Rockets",107,"Phoenix Suns",89,"Phoenix",0,48
"Portland Trail Blazers",125,"Golden State Warriors",98,"Portland",0,48
"Seattle Supersonics",103,"New York Knicks",94,"Seattle",0,48
"Detroit Pistons",89,"Toronto Raptors",84,"Toronto",0,48
"Los Angeles Lakers",93,"Utah Jazz",87,"Utah",0,48
"Dallas Mavericks",95,"San Antonio Spurs",87,"Dallas",0,48
